clock, x_dist, x_vel, x_accel, y_dist, y_vel, y_accel, z_dist, z_vel, z_accel, temperature, gyro_x, gyro_y, gyro_z,undef,undef,undef,undef,undef,undef,undef,undef,undef,lat,lon
0,0,0,0,0,0,0,0,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.01,6E-05,0,0,0,0,0,8E-05,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.02,0.00012,0,0,0,0,0,0.00016,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.03,0.000181,0,0,0,0,0,0.00024,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.04,0.000241,0,0,0,0,0,0.000319,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.05,0.000301,0,0,0,0,0,0.000399,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.06,0.000361,0,0,0,0,0,0.000479,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.07,0.000421,0,0,0,0,0,0.000559,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.08,0.000481,0,0,0,0,0,0.000639,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.09,0.000542,0,0,0,0,0,0.000719,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.1,0.000602,0,0,0,0,0,0.000799,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.11,0.000662,0,0,0,0,0,0.000878,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.12,0.000722,0,0,0,0,0,0.000958,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.13,0.000782,0,0,0,0,0,0.001038,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.14,0.000843,0,0,0,0,0,0.001118,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.15,0.000903,0,0,0,0,0,0.001198,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.16,0.000963,0,0,0,0,0,0.001278,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.17,0.001023,0,0,0,0,0,0.001358,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.18,0.001083,0,0,0,0,0,0.001438,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.19,0.001143,0,0,0,0,0,0.001517,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.2,0.001204,0,0,0,0,0,0.001597,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.21,0.001264,0,0,0,0,0,0.001677,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.22,0.001324,0,0,0,0,0,0.001757,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.23,0.001384,0,0,0,0,0,0.001837,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.24,0.001444,0,0,0,0,0,0.001917,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.25,0.001505,0,0,0,0,0,0.001997,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.26,0.001565,0,0,0,0,0,0.002076,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.27,0.001625,0,0,0,0,0,0.002156,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.28,0.001685,0,0,0,0,0,0.002236,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.29,0.001745,0,0,0,0,0,0.002316,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.3,0.001805,0,0,0,0,0,0.002396,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.31,0.001866,0,0,0,0,0,0.002476,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.32,0.001926,0,0,0,0,0,0.002556,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.33,0.001986,0,0,0,0,0,0.002635,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.34,0.002046,0,0,0,0,0,0.002715,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.35,0.002106,0,0,0,0,0,0.002795,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.36,0.002167,0,0,0,0,0,0.002875,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.37,0.002227,0,0,0,0,0,0.002955,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.38,0.002287,0,0,0,0,0,0.003035,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.39,0.002347,0,0,0,0,0,0.003115,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.4,0.002407,0,0,0,0,0,0.003195,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.41,0.002467,0,0,0,0,0,0.003274,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.42,0.002528,0,0,0,0,0,0.003354,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.43,0.002588,0,0,0,0,0,0.003434,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.44,0.002648,0,0,0,0,0,0.003514,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.45,0.002708,0,0,0,0,0,0.003594,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.46,0.002768,0,0,0,0,0,0.003674,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.47,0.002829,0,0,0,0,0,0.003754,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.48,0.002889,0,0,0,0,0,0.003833,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.49,0.002949,0,0,0,0,0,0.003913,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.5,0.003009,0,0,0,0,0,0.003993,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.51,0.003069,0,0,0,0,0,0.004073,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.52,0.003129,0,0,0,0,0,0.004153,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.53,0.00319,0,0,0,0,0,0.004233,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.54,0.00325,0,0,0,0,0,0.004313,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.55,0.00331,0,0,0,0,0,0.004392,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.56,0.00337,0,0,0,0,0,0.004472,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.57,0.00343,0,0,0,0,0,0.004552,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
0.58,0.003491,0,0,0,0,0,0.004632,0,0,311,1,0,0,0,1,0,0,0,1,0,0,0,32.990281,-106.975009
